feature1,feature2,v1,v2,vC,main_effect_cross_predictability,main_effect_cov,pure_interactions
residual_sugar,fixed_acidity,0.011977341643233228,0.0008573020287761657,0.0,0.005487955974962371,0.002019194454600128,0.013577400914014987
residual_sugar,volatile_acidity,0.011977341643233228,0.07824010083800716,0.0,-0.010845705515305884,0.03402454819796689,0.014057886601505
residual_sugar,citric_acid,0.011977341643233228,0.09844349455004325,0.0,0.0054265346139628174,0.005408187358857486,0.012808067167787984
residual_sugar,chlorides,0.011977341643233228,0.0766340427359297,0.0,0.002675592570075397,0.020440665360374623,-8.695597327476988e-05
residual_sugar,free_sulfur_dioxide,0.011977341643233228,0.0550050390571245,0.0,-1.6624937988966753e-06,0.013584564426131221,0.011191931029959938
residual_sugar,total_sulfur_dioxide,0.011977341643233228,0.03954714394800257,0.0,0.0021105867808754617,0.002230181444129968,0.006129187222821135
residual_sugar,density,0.011977341643233228,0.11346889658006105,0.0,-0.054815839112137665,0.09076047130933902,0.011633844989698525
residual_sugar,pH,0.011977341643233228,0.006271444989806928,0.0,-2.812831858647764e-05,-5.394517489306815e-05,0.011749814708224992
residual_sugar,sulphates,0.011977341643233228,-0.005402083447480453,0.0,0.002887023357804493,-0.00043651108660607945,0.02230714028443888
residual_sugar,fixed_acidity,0.019891669152652787,-0.007243234095678728,0.0,-0.0018920873855531586,0.002504283892759964,0.001722050836019768
residual_sugar,volatile_acidity,0.019891669152652787,0.09385182939046934,0.0,-0.02858588433594101,0.04376971383341949,0.025314853262388068
residual_sugar,citric_acid,0.019891669152652787,0.0535479417731285,0.0,-0.009066640957132843,0.010152622386134028,0.006055426527689275
residual_sugar,chlorides,0.019891669152652787,0.053005939651605584,0.0,-0.02944173511150609,0.029519523208487775,0.01392707052427298
residual_sugar,free_sulfur_dioxide,0.019891669152652787,0.055024633315902065,0.0,-0.01408694645119946,0.011420607795815631,0.008799821741144562
residual_sugar,total_sulfur_dioxide,0.019891669152652787,0.0559643084460323,0.0,-0.006266157191847474,0.0025033224330390474,0.009730379834637705
residual_sugar,density,0.019891669152652787,0.10097270864763631,0.0,-0.10814273774447314,0.1456373422269422,0.0042945721283716275
residual_sugar,pH,0.019891669152652787,-0.001721054304728044,0.0,-0.0010247634700465108,-0.0004732483856517012,0.005104100206150577
residual_sugar,sulphates,0.019891669152652787,0.04996873100398897,0.0,-0.0019798244634051942,0.0016461870126564628,0.003771242221604226
residual_sugar,fixed_acidity,0.02746603111075281,0.0025997143679089645,0.0,-0.00865557254543756,0.0036070759702572382,0.018735587560951283
residual_sugar,volatile_acidity,0.02746603111075281,0.0593854976671911,0.0,-0.029789268052594936,0.04337266967224149,0.022844583916451142
residual_sugar,citric_acid,0.02746603111075281,0.08256183489363103,0.0,-0.006529413324806779,0.009660913342822652,0.011487383821790554
